"year","Continent","Biofuel","Sum(coal_electricity)","Sum(gas_electricity)","Sum(hydro_electricity)","Sum(nuclear_electricity)","Sum(oil_electricity)","Sum(other_renewable_exc_biofuel_electricity)","Sum(renewables_electricity)","Sum(solar_electricity)","Sum(wind_electricity)","Sum(population)","Sum(gdp)"
"1965","Africa",,,,3.382,0,,,3.382,0,0,217004448,467523374071
"1966","Africa",,,,3.27,0,,,3.27,0,0,222484248,477387315747
"1967","Africa",,,,3.335,0,,,3.335,0,0,228103883,484779771596
"1968","Africa",,,,4.646,0,,,4.646,0,0,233886377,508462028666
"1969","Africa",,,,5.7410000000000005,0,,,5.7410000000000005,0,0,239862748,553104580527
"1970","Africa",,,,6.640000000000001,0,,,6.640000000000001,0,0,246059347,605592988915
"1971","Africa",,,,7.009,0,,,7.009,0,0,252481894,635468846227
"1972","Africa",,,,8.087,0,,,8.087,0,0,259136376,663084129089
"1973","Africa",,,,8.081999999999999,0,,,8.081999999999999,0,0,266048464,692886288718
"1974","Africa",,,,9.081999999999999,0,,,9.081999999999999,0,0,273248245,733817607859
"1975","Africa",,,,9.257000000000001,0,,,9.257000000000001,0,0,280756273,737776107216
"1976","Africa",,,,11.266999999999998,0,,,11.266999999999998,0,0,288582678,787385528658
"1977","Africa",,,,12.616,0,,,12.616,0,0,296720835,818347893964
"1978","Africa",,,,13.503,0,,,13.503,0,0,305152356,840692243327
"1979","Africa",,,,12.625000000000002,0,,,12.625000000000002,0,0,313849142,885308962499
"1980","Africa",,,,12.565999999999999,0,,,12.565999999999999,0,0,469037344,1099419684734
"1981","Africa",,,,13.255999999999998,0,,,13.255999999999998,0,0,482434016,1110637842492
"1982","Africa",,,,12.559,0,,,12.559,0,0,496231767,1144238500207
"1983","Africa",,,,11.126,0,,,11.126,0,0,510439932,1152384926218
"1984","Africa",,,,11.008000000000001,3.925,,,11.008000000000001,0,0,525071889,1180900912942
"1985","Africa",,135.403,9.236,10.904000000000002,5.315,11.911,,10.904000000000002,0,0,540131194,1225082245818
"1986","Africa",,135.988,10.289,11.488,8.803,13.241999999999999,,11.488,0,0,555618223,1251227005661
"1987","Africa",,142.773,11.716,11.911000000000001,6.167,15.011,,11.911000000000001,0,0,571509829,1267464622308
"1988","Africa",,143.032,13.156,13.11,10.493,16.779,,13.11,0,0,587756630,1323389864320
"1989","Africa",,148.462,13.715,13.629000000000001,11.099,17.412,,13.629000000000001,0,0,604293660,1364475496994
"1990","Africa",,155.926,16.446,12.318,8.449,15.554,,12.318,0,0,622503637,1392635536662
"1991","Africa",,155.388,20.406,13.415,9.144,12.954,,13.415,0,0,639557342,1433572522895
"1992","Africa",,156.717,22.944,11.715000000000002,9.288,12.242,,11.715000000000002,0,0,656843162,1456706674419
"1993","Africa",,165.96,26.172,11.034,7.255,10.472,,11.034,0,0,674333358,1492597009986
"1994","Africa",,169.402,29.292,12.808,9.697,8.53,,12.808,0,0,694216575,1555294230044
"1995","Africa",,173.551,30.45,12.525,11.301,9.01,,12.525,0,0,712028838,1628336397684
"1996","Africa",,184.718,31.514,14.895,11.775,10.572,,14.955,0,0,730010431,1747510826168
"1997","Africa",,192.869,32.679,16.021,12.647,12.334,,16.167,0,0,748191725,1839670989257
"1998","Africa",,187.527,32.53,15.690999999999999,13.601,16.063,,15.921999999999999,0,0,766635654,1938693723880
"1999","Africa",,186.662,37.226,15.193999999999999,12.837,15.052,,15.402999999999999,0,0.012,791359237,2033178294482
"2000","Africa",2.1500000000000004,194.57999999999998,96.99,74.51,13.01,38.54999999999999,0.43,77.32,0,0.23,804634502,2150734280526
"2001","Africa",2.1400000000000006,199.19000000000003,103.82000000000001,81.21,10.72,39.169999999999995,0.48,84.29,0,0.46,824299002,2292132649491
"2002","Africa",2.1300000000000003,205.12,120.74000000000001,83.40000000000002,11.99,38.019999999999996,0.39,86.37,0.02,0.43000000000000005,844449025,2450288937929
"2003","Africa",2,219.93999999999997,127.91999999999999,81.68999999999998,12.66,39.51999999999999,0.79,85.11000000000001,0.02,0.6100000000000001,865145959,2622270527264
"2004","Africa",2.23,229.72,144.04000000000002,86.53999999999999,14.28,36.650000000000006,1.03,90.6,0.02,0.78,886457068,2823553364349
"2005","Africa",2.62,232.15,154.13000000000002,88.72,12.24,44.019999999999996,1,93.18999999999998,0.02,0.8300000000000001,908440248,3046444210857
"2006","Africa",2.63,238.87999999999997,165.80999999999997,91.92000000000003,10.07,47.27999999999999,1.01,96.46000000000001,0.03,0.8700000000000001,931118629,3290370715526
"2007","Africa",2.5100000000000002,247.07000000000002,174.08000000000004,93.99000000000001,12.6,50.93000000000001,1.02,98.74,0.04,1.1800000000000002,954516596,3574968990469
"2008","Africa",2.71,241.36,181.88000000000002,95.63000000000002,12.75,56.13,1.19,100.87000000000002,0.05,1.29,978690324,3864184148158
"2009","Africa",2.82,231.70000000000002,185.66999999999996,98.68000000000002,11.57,62.01,1.36,104.63,0.07,1.7,1003700975,4095091530082
"2010","Africa",3.14,240.67000000000002,211.80999999999997,109.5,12.9,58.72999999999998,1.47,116.89,0.41000000000000003,2.37,1029586930,4438225521845
"2011","Africa",3.29,244.07,217.03999999999996,110.57000000000004,12.94,55.72,1.51,118.30000000000003,0.5000000000000001,2.4299999999999997,1056364060,4574545439003
"2012","Africa",3.4899999999999993,241,236.98999999999995,111.66000000000003,12.4,64.58,1.6,119.77000000000001,0.6500000000000001,2.3700000000000006,1094121884,4856503467480
"2013","Africa",3.71,234.56,241.48000000000008,116.88000000000004,13.61,75.89999999999999,2.01,126.89,0.7400000000000002,3.5499999999999994,1122817758,4966601965133
"2014","Africa",5.46,233.36,250.65,122.18000000000008,14.76,80.79,4.06,139.15000000000003,1.8600000000000003,5.59,1152199985,5187030335975
"2015","Africa",6.399999999999999,229.95,265.95,120.02999999999997,10.97,90.92000000000002,4.48,142.40000000000003,2.9099999999999993,8.579999999999998,1182198784,5366848076752
"2016","Africa",5.81,229.88000000000002,270.85,119.04999999999998,15.21,88.14,4.2,143.74000000000007,4.21,10.47,1212794105,5492111975610
"2017","Africa",5.040000000000001,235.38,297.08,124.99,15.09,77.90999999999998,4.81,151.97999999999996,5.599999999999999,11.54,1243969320,5697058170231
"2018","Africa",4.67,240.54,305.05,130.67000000000002,10.56,71.86999999999999,4.78,163.00000000000006,7.149999999999998,15.729999999999997,1275661494,5903240072894
"1965","Asia",,,,132.303,0.025,,,132.403,0,0,1828821427,3519117160326
"1966","Asia",,,,138.409,0.584,,,138.531,0,0,1872674890,3723850406899
"1967","Asia",,,,128.27599999999998,0.629,,,128.44899999999998,0,0,1919251040,3938329924145
"1968","Asia",,,,143.708,1.044,,,143.887,0,0,1973808702,4225051653073
"1969","Asia",,,,149.38699999999997,1.807,,,149.56499999999997,0,0,2023721960,4641536722691
"1970","Asia",,,,153.175,5.889,,,153.58400000000003,0,0,2080175487,5104569158829
"1971","Asia",,,,168.205,9.030999999999999,,,168.60299999999998,0,0,2130711897,5376697451348
"1972","Asia",,,,174.14100000000002,10.607,,,174.565,0,0,2181460781,5672807848930
"1973","Asia",,,,161.252,12.040000000000001,,,161.70299999999997,0,0,2232123670,6129545666559
"1974","Asia",,,,184.347,22.028000000000002,,,184.862,0,0,2282405957,6281665146565
"1975","Asia",,,,198.81799999999996,27.878,,,199.41699999999997,0,0,2332128849,6597783737034
"1976","Asia",,,,203.942,37.252,,,204.471,0,0,2381125268,6885346109618
"1977","Asia",,,,199.374,34.00799999999999,,,200.12699999999998,0,0,2429488992,7268749788980
"1978","Asia",,,,210.07100000000005,66.738,,,211.03900000000004,0,0,2477650428,7729132213919
"1979","Asia",,,,227.20899999999997,82.27399999999999,,,229.091,0,0,2526228067,8066755323622
"1980","Asia",,,,244.32999999999996,96.79499999999999,,,247.60199999999998,0,0,2591425857,8423987477416
"1981","Asia",,,,261.41,104.019,,,266.5690000000001,0,0,2641997311,8745728887651
"1982","Asia",,,,258.165,121.65100000000001,,,271.953,0,0,2693511497,9150867685874
